Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Bathtub features (product.metafields.shopify.bathtub-features),Blade material (product.metafields.shopify.blade-material),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Connecting thread (product.metafields.shopify.connecting-thread),Door closer design (product.metafields.shopify.door-closer-design),Drain location (product.metafields.shopify.drain-location),Durability features (product.metafields.shopify.durability-features),Flush system (product.metafields.shopify.flush-system),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Handle material (product.metafields.shopify.handle-material),Hardware finish (product.metafields.shopify.hardware-finish),Hardware material (product.metafields.shopify.hardware-material),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light temperature (product.metafields.shopify.light-temperature),Lubricant dispenser type (product.metafields.shopify.lubricant-dispenser-type),Masonry product form (product.metafields.shopify.masonry-product-form),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Power source (product.metafields.shopify.power-source),Recommended use (product.metafields.shopify.recommended-use),Security level (product.metafields.shopify.security-level),Shape (product.metafields.shopify.shape),Style (product.metafields.shopify.style),Suitable for door type (product.metafields.shopify.suitable-for-door-type),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Toilet shape (product.metafields.shopify.toilet-shape),Wall patching application (product.metafields.shopify.wall-patching-application),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
4-inch-fire-rated-pot-light-9-watts-810-lumens-2-hour-fire-rating-5-cct-selectable-dimmable,"4 Inch Fire Rated Pot Light 9 Watts 810 Lumens 2 Hour Fire Rating,5 CCT Selectable, Dimmable","<p><span>Safety and energy efficiency combined. This 4"" Fire Rated Pot Light is an essential addition to any building where maintaining the integrity of fire separation is needed. Designed to outperform, this Dimmable Fire Rated Slim Downlight light emits an impressive 810 lumens, using only 9 watts.</span></p>
<p><span>This Fire Rated Recessed Light features a UL, Certified ro CSA standart , compliant 2-hour fire rating. That's right, not only will it brighten up your spaces, but it's also equipped to prevent the passage of flames and smoke, granting you unparalleled peace of mind.</span></p>
<p><span>Select from 5 Colour Temperatures, and dial in the brightness with its smooth dimming capabilities. Rated for wet locations, it can serve you flawlessly even in showers. Its IC rating ensures that this Fire Rated Down Light can contact insulation without a hitch, making it perfect for tight spaces.</span></p>
<p> </p>
<p> </p>",FaucetWorld,Home & Garden > Lighting > Lighting Fixtures > Ceiling Light Fixtures,,,true,Title,Default Title,,,,,,,,,0.0,shopify,185,deny,manual,14.80,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_ec11523a-bb22-40f6-b49b-0f8bd0a2b78f.png?v=1771355852,1,,false,,,2524,,,,,,,,,,,,,,,,shaker-white; red,,,,,,,,,,,,warm-white,,,,ceiling; built-in,,,,,,,,,,,,,,,,kg,,,active
4-round-slim-pot-lights-dimmable-5cct,"4"" Round Slim Pot Lights Dimmable - 5CCT","<ul>
<li><span>1/2"" Ultra Slim Panel --- Fits in Tight Ceiling Space.</span></li>
<li><span>Air Tight &amp; Type IC Rated ,No need traditional Junction box   </span></li>
<li><span>Suitable for Damp locations.</span></li>
<li>
<span>ETL</span><span> , cETL Certified </span><span>listed: reliable quality and safe operation.</span>
</li>
<li><span>Energy Star , RoHS Certified </span></li>
<li><span>Fast &amp; Easy Installation: Save labor cost.  </span></li>
<li>
<span>Iwatt isolated LED driver with high &amp; stable quali</span><span>ty</span><span> </span>
</li>
<li><span>Smooth dimming, without any flick at low end and without any noise</span></li>
<li><span>Compatible with most of the popular dimmers in the market.         </span></li>
<li><span>Driver Included.</span></li>
<li><span>5CCT Tunable : 2700K,3000K,3500K,4000K,5000K                                              </span></li>
</ul>",FaucetWorld,Home & Garden > Lighting > Lighting Fixtures > Ceiling Light Fixtures,,,true,Title,Default Title,,,,,,,,,0.0,shopify,500,deny,manual,5.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_c70372b0-45aa-4107-9a2a-a403edec56b5.png?v=1771339418,1,,false,,,2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
30-solid-wood-vanities-with-drawers-left-right,30'' Solid Wood Vanities with Drawers LEFT/RIGHT (White/Grey/Blue),"<p><strong>FEATURES</strong></p>
<ul>
<li>Materials: Solid Wood</li>
<li>Available Colors:Shaker White / Shaker Grey / Navy Blue</li>
<li>Solid Wood Doors with Plywood Constructed Box</li>
<li>Soft-close Mechanism</li>
<li>Drawers will be ""Dovetail Joinery"" </li>
<li>Drawers Left Or Right</li>
<li>Pre-drilled Single-hole Faucet Mount</li>
<li>No Assembly Required, Ready to Install</li>
</ul>
<p><strong>DIMENSIONS</strong></p>
<ul>
<li>Main Cabinet: 30″W x 34 3/4″H x 22″D</li>
<li>Countertop: 31″W x 3/4″H x 22.5″D</li>
</ul>",FaucetWorld,Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Single Sink Vanities,,,true,Color,shaker-white,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_281b0859-9794-4257-addc-3673c8975a69.jpg?v=1770878923,1,,false,,,2081,,,,,,,,,,,,,,,,shaker-white; shaker-grey; blue,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_281b0859-9794-4257-addc-3673c8975a69.jpg?v=1770878923,kg,,,active
24-solid-wood-vanities-two-doors,24” Solid Wood Vanities - Two Doors  (White/Grey/Blue),"<p>FEATURES</p>
<p> </p>
<p>Materials: Solid Wood</p>
<p>Available Colors: Shaker White / Shakey Grey / Navy Blue</p>
<p>Solid Wood Doors with Plywood Constructed Box</p>
<p>Soft-close Mechanism</p>
<p>Pre-drilled Single-hole Faucet Mount</p>
<p>No Assembly Required, Ready to Install</p>
<p>DIMENSIONS</p>
<p> </p>
<p>Main Cabinet: 24″W x 34 3/4″H x 22″D</p>
<p>Countertop: 25″W x 3/4″H x 22.5″D</p>",FaucetWorld,Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Single Sink Vanities,,,true,Color,shaker-white,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,0,deny,manual,399.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_abe28803-9898-40a9-b785-6eda158bfdc3.png?v=1770878083,1,,false,,,2081,,,,,,,,,,,,,,,,shaker-white; shaker-grey; blue,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_abe28803-9898-40a9-b785-6eda158bfdc3.png?v=1770878083,kg,,,active
freestanding-bathtub-drain-rough-in-kit,Freestanding Bathtub Drain Rough-in Kit,"<p>High Compatibility: This freestanding tub drain kit is designed to work with all freestanding, floor mounted, and island bathtubs. It can be installed securely on a variety of surfaces, including wood, cement, tile, and concrete, giving ultimate versatility for any bathroom setup.</p>
<p>Smooth Drainage Flow: The embedded bathtub rough-in kit is securely fixed between the base and the surface tiles, providing stable and reliable drainage. The dust lid shields the drain pipe during construction and allows multiple air pressure tests to ensure flawless performance.</p>
<p>Durable Materials: Featuring a corrosion-resistant brass pipe, this freestanding tub drain rough-in kit provides exceptional durability, keeping your bathtub securely in place for years of reliable performance.</p>
<p>Easy Installation: This stand alone tub drain kit comes with clear instructions and all the essential accessories, making installation quick and hassle-free.</p>
<p>Recommended Uses: This bathtub drain kit is ideal for plumbers, renovation contractors, builders, or DIY enthusiasts. It’s designed for easy installation on freestanding bathtubs, ensuring a smooth setup every time.</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Bathtub Accessories,,,true,Title,Default Title,,,,,,,,,0.0,shopify,13,deny,manual,99.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_350ac216-e622-4f20-a9e5-04b02da9dc91.webp?v=1770877727,1,,false,,,2996,,,,,,,,,,,,,,,,multicolor; black; gold,,,,,,,,,,,,,,,brass; plastic,,,,,,,,,,,,,,,,,kg,,,active
freestanding-bathtub-67,"Freestanding Bathtub 67""","<p>In Store Pick Up ONLY</p>
<p>Freestanding Bathtub 67""</p>
<p>CUPC Certified</p>
<p>Grade 1 Coating</p>
<p>NOT Included : Faucet.</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixtures > Bathtubs > Freestanding Bathtubs,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,799.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_93261b7d-2069-4bee-9970-82a4624b956d.png?v=1770876474,1,,false,,,1636,,,,,,,,,,,,,,,,white,,,center,,,,,,,,,,,,acrylic,,,,,,,,,,,,,,,,,kg,,,active
freestanding-bathtub-61,"Freestanding Bathtub 60""","<p>In Store Pick Up ONLY</p>
<p>Freestanding Bathtub 60""</p>
<p>CUPC Certified</p>
<p>Grade 1 Coating</p>
<p>NOT Included : Faucet.</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixtures > Bathtubs > Freestanding Bathtubs,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,749.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_563c224f-b19b-4b4c-ab1b-a7022b0b46a9.png?v=1770876214,1,,false,,,1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
freestanding-bathtub-60,"Freestanding Bathtub 60""","<p>In Store Pick Up ONLY</p>
<p>Freestanding Bathtub 60""</p>
<p>CUPC Certified</p>
<p>Grade 1 Coating</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixtures > Bathtubs > Freestanding Bathtubs,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,749.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_d7d65b0e-3499-45c3-a444-a85400df1983.png?v=1770875884,1,,false,,,1636,,,,,,,,,,,,,air-jets,,,white,,,center,,,,,,,,,,,,acrylic,,,,,round,,,,,,,,,,,,kg,,,active
10-wall-mounted-2-way-pressure-balance-rainfall-shower-system-with-handheld-sprayer-brushed-gold,"10"" Wall Mounted 2 Way Pressure Balance Rainfall Shower System with Handheld Sprayer Brushed Gold","<p>TOP QUALITY: This shower combo set contains only top-quality selected metal parts. The faucet body, 10 inch ultra-thin pressurized Rain shower head, 59 inches shower hose, wall mounted shower arm, shower holder even the embedded valve body are all made of brass material, which made it more durable than those made from stainless steel and plastic.</p>
<p>HIGH PRESSURE: High Pressure Shower Mixer Valve Cupc Certified, 9.4 Liters a minute , Max 80 PSI, ensure higher pressure water to the rain shower head and handheld and spout, the cartridge with cUPC certification, make sure you can enjoy a smooth shower even at low water pressure area</p>
<p>2-FUNCTION WITH ONE SWITCH: Our shower valve comes with built-in diverter. Ceramic disc diverter valve provides smooth and easy function-switching operations , you can choose among 2 shower settings with one switch.</p>
<p>EASY INSTALLATION GUARANTEED: Designed to easily install with standard U.S / Canada plumbing connections, Standard 1/2"" NPT tapered threads, CUPC Certified.</p>
<p>Warranty : Limited Lifetime Warranty.</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Shower Parts > Electric & Power Showers > Mixer Showers,,,true,Title,Default Title,,,,,,,,,4700.0,shopify,3,deny,manual,254.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/Photo-1768439823527.jpg?v=1768439850,1,,false,,,8277,,,,,,,,,,,,,,,,gold,,,,,,,,,brass,,,,,,,,manual,,,,,,,,,,,,,,,kg,,,active
10-wall-mounted-3-way-pressure-balance-rainfall-shower-system-with-tub-spout-brushed-gold,"10"" Wall Mounted 3 Way Pressure Balance Rainfall Shower System with Tub Spout Brushed Gold","<p>TOP QUALITY: This shower combo set contains only top-quality selected metal parts. The faucet body, 10 inch ultra-thin pressurized Rain shower head, 59 inches shower hose, wall mounted shower arm, shower holder even the embedded valve body are all made of brass material, which made it more durable than those made from stainless steel and plastic.</p>
<p>HIGH PRESSURE: High Pressure Shower Mixer Valve Cupc Certified, 9.4 Liters a minute , Max 80 PSI, ensure higher pressure water to the rain shower head and handheld and spout, the cartridge with cUPC certification, make sure you can enjoy a smooth shower even at low water pressure area</p>
<p>3-FUNCTION WITH ONE SWITCH: Our shower valve comes with built-in diverter. Ceramic disc diverter valve provides smooth and easy function-switching operations , you can choose among 3 shower settings with one switch.</p>
<p>EASY INSTALLATION GUARANTEED: Designed to easily install with standard U.S / Canada plumbing connections, Standard 1/2"" NPT tapered threads, CUPC Certified.</p>
<p>Warranty : Limited Lifetime Warranty.</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixtures > Faucets > Bathtub & Shower Faucets,,,true,Title,Default Title,,,,,,,,,5000.0,shopify,0,deny,manual,324.99,399.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/Photo-1768439823882.jpg?v=1768439856,1,,false,,,2032,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,brass,,,,,,,,,,,,,,,,,kg,,,active
